"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Mike Yastrzemski","SFG","106","381","15","11.8%","26.0%",".212",".286",".233",".330",".445",".333",".326","112","0.2","5.9","-1.1","1.8",".775","14.3%","51","4.6","0.72","20.0%","60.1%","41.1%","55.7%","85.5%","78.6%","52.6%","1.0","43.6%","20.1%","90.0","19.6","9.8%","110.1","44.0%","234","28.4%",".231",".419","14854","573262"
"Mark Canha","- - -","139","507","11","9.7%","15.6%",".138",".293",".262",".355",".400",".333",".322","111","0.9","7.7","-9.3","1.6",".755","7.6%","68","6.1","1.85","23.6%","58.1%","41.6%","66.0%","89.1%","82.8%","52.2%","0.9","43.9%","21.3%","87.9","13.1","4.7%","109.4","36.7%","362","29.1%",".246",".377","11445","592192"
"Randal Grichuk","- - -","118","471","16","6.2%","20.4%",".191",".309",".267",".321",".459",".333",".321","100","-2.9","-2.6","-6.9","0.7",".779","12.2%","63","5.7","-0.90","35.5%","65.2%","50.2%","51.0%","87.7%","74.5%","49.3%","-0.6","46.2%","23.2%","89.7","14.2","7.1%","112.1","45.0%","340","28.0%",".260",".418","10243","545341"
"Connor Joe","PIT","133","472","11","10.6%","23.3%",".174",".311",".247",".339",".421",".332",".328","107","0.6","4.5","-1.5","1.9",".760","8.9%","63","5.5","-1.53","21.4%","56.5%","39.5%","56.3%","86.3%","78.4%","51.5%","1.7","38.8%","24.3%","88.9","16.7","8.2%","111.6","41.5%","304","29.7%",".246",".399","16572","656582"
"Tommy Pham","- - -","129","481","16","9.8%","22.0%",".190",".300",".256",".328",".446",".332",".361","110","3.1","9.2","-7.5","1.8",".774","16.8%","64","5.5","1.05","18.8%","60.3%","40.5%","45.4%","86.8%","77.6%","52.3%","1.7","38.7%","20.9%","92.3","5.7","10.7%","113.7","48.8%","326","29.3%",".282",".472","2967","502054"
"Fernando Tatis Jr.","SDP","141","635","25","8.3%","22.2%",".191",".299",".257",".322",".449",".332",".368","113","3.1","13.1","9.2","4.4",".770","17.0%","84","7.0","1.45","32.2%","78.1%","54.1%","52.2%","79.8%","71.2%","47.7%","0.8","43.6%","17.4%","91.9","11.0","11.0%","113.4","48.9%","438","24.7%",".282",".511","19709","665487"
"Joc Pederson","SFG","121","425","15","13.4%","20.9%",".182",".268",".235",".348",".416",".331",".368","111","-1.2","4.4","-12.6","0.6",".764","13.3%","56","4.4","1.73","28.7%","63.8%","45.0%","65.3%","83.7%","77.4%","46.4%","1.2","46.3%","20.6%","92.1","15.2","11.8%","116.6","52.2%","272","25.7%",".263",".483","11899","592626"
"Austin Slater","SFG","89","207","5","9.7%","28.0%",".130",".369",".270",".348",".400",".330",".337","110","0.1","2.7","-0.3","0.9",".748","13.5%","27","2.0","0.68","22.0%","62.6%","42.0%","41.1%","83.5%","72.3%","49.3%","0.7","35.4%","33.9%","91.1","7.5","11.8%","109.6","46.5%","127","30.8%",".253",".439","16153","596103"
"Ezequiel Duran","TEX","122","439","14","5.2%","27.3%",".167",".358",".276",".324",".443",".330",".318","107","-3.8","0.1","-5.7","0.9",".768","12.7%","58","4.3","-0.69","37.6%","70.3%","53.8%","56.5%","83.3%","73.9%","49.4%","-3.7","36.3%","26.3%","90.1","14.0","8.7%","115.2","43.9%","289","27.6%",".254",".429","23733","677649"
"Ha-seong Kim","SDP","152","626","17","12.0%","19.8%",".138",".306",".260",".351",".398",".330",".312","112","5.1","14.1","8.4","4.4",".749","10.5%","82","6.0","1.09","20.3%","52.6%","38.6%","71.7%","87.7%","84.0%","56.6%","2.0","45.1%","20.8%","86.2","13.6","4.3%","108.5","26.2%","424","29.3%",".243",".356","27506","673490"
"Austin Hays","BAL","144","566","16","6.7%","24.9%",".169",".345",".275",".325",".444",".330",".310","112","-3.9","4.3","-1.4","2.2",".769","11.0%","74","5.5","0.07","29.7%","63.4%","46.5%","48.6%","85.4%","73.5%","49.7%","-3.3","40.6%","24.2%","89.4","10.4","8.9%","111.0","40.1%","384","30.5%",".241",".419","19363","669720"
"Mike Tauchman","CHC","108","401","8","14.0%","21.4%",".125",".313",".252",".363",".377",".330",".345","107","2.3","5.9","-1.9","1.8",".739","10.8%","53","3.9","1.01","18.5%","62.2%","41.7%","56.8%","83.9%","78.3%","53.2%","1.1","34.1%","30.6%","88.4","8.1","5.5%","109.4","40.0%","255","26.5%",".265",".397","15274","643565"
"Gary Sanchez","- - -","75","267","19","7.9%","25.1%",".275",".212",".217",".288",".492",".329",".342","111","-2.1","1.6","6.6","1.7",".780","23.2%","35","2.5","-0.06","26.4%","56.3%","41.8%","47.9%","85.4%","73.9%","51.4%","-1.8","47.4%","16.0%","90.1","16.5","15.4%","115.1","44.6%","175","32.6%",".230",".494","11442","596142"
"Lourdes Gurriel Jr.","ARI","145","592","24","5.6%","17.4%",".201",".282",".261",".309",".463",".329",".326","106","-3.2","0.9","0.1","2.1",".772","15.0%","78","5.4","0.05","27.6%","68.3%","49.1%","61.6%","91.2%","83.4%","52.8%","-1.1","40.0%","25.1%","89.7","10.6","8.4%","108.9","46.0%","450","24.9%",".262",".439","19238","666971"
"Alec Bohm","PHI","145","611","20","6.9%","15.4%",".163",".296",".274",".327",".437",".329",".342","105","-7.2","-3.1","-6.8","1.1",".765","12.6%","80","5.5","-0.07","29.2%","68.1%","49.8%","68.8%","89.9%","84.1%","53.1%","-3.2","30.2%","29.4%","89.4","11.1","5.7%","109.3","41.7%","470","23.0%",".287",".450","21618","664761"
"Taylor Ward","LAA","97","409","14","9.5%","19.6%",".169",".284",".253",".335",".421",".329",".338","107","-1.1","2.5","-1.1","1.5",".756","11.7%","53","3.6","-1.47","23.6%","65.1%","44.4%","56.3%","90.9%","81.7%","50.0%","0.3","39.4%","26.2%","90.7","14.3","8.2%","111.4","43.6%","282","24.0%",".252",".425","17548","621493"
"Edward Olivares","KCR","107","385","12","5.7%","16.6%",".189",".289",".263",".317",".452",".329",".340","105","-0.6","1.6","-10.6","0.4",".769","10.3%","50","3.4","-0.62","30.9%","70.9%","50.7%","56.8%","89.0%","79.0%","49.4%","0.1","46.2%","27.1%","87.3","12.2","7.9%","111.0","37.7%","292","25.8%",".272",".454","19698","658668"
"Matt Chapman","TOR","140","581","17","10.7%","28.4%",".185",".319",".240",".330",".424",".328",".339","110","2.2","9.2","5.7","3.5",".755","9.9%","76","4.8","-1.27","19.7%","63.5%","43.3%","53.8%","78.0%","72.9%","53.9%","1.3","39.3%","23.4%","93.5","18.5","17.1%","114.3","56.1%","346","29.4%",".229",".457","16505","656305"
"Willi Castro","MIN","124","409","9","8.3%","24.2%",".154",".328",".257",".339",".411",".327",".306","109","6.4","10.9","0.4","2.5",".750","8.6%","53","3.0","1.73","36.1%","66.8%","51.4%","58.2%","83.5%","74.6%","49.8%","1.6","41.3%","27.3%","86.5","15.1","6.8%","114.2","31.8%","264","28.2%",".235",".365","17338","650489"
"Jonathan India","CIN","119","529","17","9.8%","20.6%",".163",".281",".244",".338",".407",".327",".339","99","-0.4","-0.8","-5.0","1.2",".746","12.2%","68","3.9","-0.61","19.1%","55.6%","38.6%","57.9%","86.2%","79.7%","53.2%","0.7","42.9%","26.1%","89.5","15.3","7.7%","111.4","38.4%","352","29.5%",".250",".420","21523","663697"
"Nolan Arenado","STL","144","612","26","6.7%","16.5%",".193",".279",".266",".315",".459",".327",".321","107","-3.3","1.9","3.7","2.6",".774","13.8%","79","4.5","0.55","33.7%","64.6%","48.5%","63.8%","91.0%","81.1%","47.9%","0.2","50.1%","19.5%","88.8","16.9","7.3%","110.3","38.1%","467","25.8%",".264",".433","9777","571448"
"Daniel Vogelbach","NYM","104","319","13","13.2%","25.4%",".171",".282",".233",".339",".404",".327",".323","109","-3.7","-0.2","-9.2","0.1",".742","17.3%","41","2.2","0.08","22.5%","49.0%","36.0%","61.0%","88.6%","80.2%","51.0%","-2.5","43.8%","22.7%","91.7","14.5","9.3%","112.6","49.5%","194","31.3%",".225",".397","14130","596129"
"Vinnie Pasquantino","KCR","61","260","9","9.6%","11.9%",".190",".250",".247",".324",".437",".327",".350","103","-2.7","-1.7","-6.7","0.0",".762","10.6%","34","1.8","-0.15","32.0%","62.6%","46.5%","69.0%","92.3%","83.9%","47.3%","-1.4","43.3%","21.4%","89.3","17.4","7.4%","109.8","40.1%","202","25.3%",".279",".449","27676","686469"
"Aaron Hicks","- - -","93","312","8","13.5%","22.1%",".130",".311",".253",".353",".383",".326",".284","109","3.2","6.7","-6.9","1.0",".735","10.3%","40","2.1","0.63","21.2%","59.3%","40.1%","57.2%","85.2%","77.7%","49.6%","2.5","45.8%","23.4%","85.3","12.6","4.0%","106.7","29.4%","201","28.5%",".208",".303","5297","543305"
"Cal Raleigh","SEA","145","569","30","9.5%","27.8%",".224",".273",".232",".306",".456",".326",".332","111","-0.8","7.0","20.7","4.7",".762","17.3%","73","3.7","-0.13","30.5%","69.9%","49.7%","52.0%","80.9%","71.8%","48.7%","-1.8","51.1%","19.9%","89.5","20.3","12.6%","113.7","40.7%","356","27.1%",".233",".466","21534","663728"
"Spencer Torkelson","DET","159","684","31","9.8%","25.0%",".213",".269",".233",".313",".446",".326",".349","107","0.7","6.0","-15.3","1.4",".758","15.0%","88","4.2","-0.47","24.1%","65.8%","46.2%","54.8%","85.1%","77.7%","53.1%","1.7","47.7%","23.9%","91.8","17.1","14.1%","112.7","50.5%","440","26.9%",".251",".480","27465","679529"
"Joey Votto","CIN","65","242","14","11.2%","25.6%",".231",".212",".202",".314",".433",".326",".304","98","-0.6","-1.1","-6.7","0.0",".747","23.3%","31","1.5","0.17","25.6%","68.8%","47.8%","54.7%","77.0%","71.2%","51.3%","-0.5","48.6%","18.5%","89.3","13.9","11.0%","111.2","39.7%","146","27.1%",".190",".376","4314","458015"
"Jazz Chisholm Jr.","MIA","97","383","19","6.8%","30.8%",".207",".318",".250",".304",".457",".325",".309","103","3.8","5.1","0.5","1.9",".761","23.5%","49","2.2","-0.91","26.2%","61.7%","44.1%","43.5%","74.5%","65.4%","50.6%","0.7","43.5%","22.4%","90.4","10.4","12.2%","111.6","41.8%","237","32.4%",".224",".432","20454","665862"
"Jon Berti","MIA","133","424","7","6.8%","18.2%",".111",".349",".294",".344",".405",".325",".323","103","0.6","1.9","4.4","2.1",".748","8.5%","54","2.4","-0.84","21.7%","63.0%","45.4%","53.1%","89.9%","82.4%","57.4%","2.1","27.2%","36.7%","85.4","2.4","4.8%","110.7","31.3%","316","26.1%",".280",".403","12037","542932"
"Ryan McMahon","COL","152","627","23","10.8%","31.6%",".191",".326",".240",".322",".431",".325",".333","88","-5.9","-15.2","5.8","1.2",".753","19.2%","80","3.4","-1.44","26.9%","65.7%","47.3%","50.6%","77.1%","69.9%","52.5%","-1.6","34.7%","27.8%","90.8","9.7","11.4%","113.2","44.2%","360","29.7%",".242",".441","15112","641857"
"Eloy Jimenez","CHW","120","489","18","6.1%","19.0%",".169",".305",".272",".317",".441",".325",".313","105","-2.7","0.3","-12.7","0.4",".758","15.9%","62","2.6","0.02","37.4%","70.7%","52.0%","52.8%","85.5%","72.2%","43.7%","-0.5","40.6%","23.3%","90.9","5.7","9.3%","113.5","46.6%","365","27.6%",".255",".421","17484","650391"
"Gabriel Moreno","ARI","111","380","7","7.6%","19.7%",".123",".338",".284",".339",".408",".325",".314","103","-7.7","-6.5","10.4","1.7",".747","11.7%","48","2.0","0.26","25.9%","56.2%","42.4%","62.8%","88.8%","81.5%","54.3%","-4.1","33.7%","27.1%","89.8","4.2","4.8%","109.7","41.8%","273","29.5%",".263",".382","22664","672515"
"Dansby Swanson","CHC","147","638","22","10.3%","24.1%",".172",".297",".244",".328",".416",".325",".346","104","4.6","7.5","20.3","4.9",".744","15.2%","81","3.3","-1.40","23.8%","69.3%","47.3%","52.7%","79.5%","73.0%","51.7%","3.2","46.0%","18.4%","89.3","13.0","10.9%","109.1","39.5%","413","27.5%",".254",".455","18314","621020"
"Ke'Bryan Hayes","PIT","124","525","15","5.3%","19.8%",".182",".315",".271",".309",".453",".324",".322","101","-1.5","-0.8","15.5","3.2",".762","9.8%","67","2.5","-0.14","30.3%","60.3%","45.6%","61.5%","90.1%","80.8%","51.0%","-0.6","31.0%","31.6%","92.2","13.2","7.4%","113.1","48.4%","393","28.9%",".269",".433","18577","663647"
"J.T. Realmuto","PHI","135","540","20","6.5%","25.6%",".200",".307",".252",".310",".452",".324",".336","102","-1.5","-0.3","-3.4","1.5",".762","13.2%","68","2.5","-1.73","31.5%","68.7%","50.5%","56.8%","83.8%","75.5%","51.0%","-2.7","43.3%","23.9%","89.8","16.6","11.2%","110.6","42.7%","358","26.9%",".254",".463","11739","592663"
"Jonah Heim","TEX","131","501","18","8.0%","19.2%",".179",".289",".258",".317",".438",".324",".326","103","0.5","2.4","22.0","4.1",".755","11.6%","63","2.3","1.04","30.7%","72.0%","51.9%","64.0%","85.9%","79.6%","51.4%","1.3","47.0%","20.3%","89.2","17.3","8.0%","110.3","38.5%","364","24.0%",".254",".435","16930","641680"
"Chris Taylor","LAD","117","384","15","10.7%","32.6%",".183",".327",".237",".326",".420",".323",".314","104","3.3","5.4","0.3","1.9",".746","15.8%","48","1.6","1.13","22.0%","71.5%","47.5%","40.5%","74.6%","66.9%","51.5%","0.6","47.7%","26.6%","86.2","21.5","9.8%","110.8","37.4%","214","30.2%",".223",".403","13757","621035"
"Carlos Santana","- - -","146","619","23","10.5%","16.8%",".189",".255",".240",".318",".429",".323",".306","101","2.2","2.9","-7.3","1.7",".747","13.5%","78","2.5","0.47","23.8%","66.6%","45.3%","63.1%","85.3%","79.5%","50.1%","1.7","49.3%","19.8%","88.8","12.8","6.7%","111.7","36.2%","450","24.4%",".236",".373","2396","467793"
"Bryson Stott","PHI","151","640","15","6.1%","15.6%",".138",".312",".280",".329",".419",".323",".309","101","5.3","6.2","11.2","3.9",".747","9.4%","80","2.4","1.27","30.4%","56.6%","44.5%","76.8%","91.1%","86.6%","53.7%","1.8","33.0%","32.2%","88.1","10.2","4.7%","108.0","35.2%","494","28.1%",".267",".381","26294","681082"
"Garrett Hampson","MIA","98","252","3","9.1%","26.6%",".104",".379",".276",".349",".380",".323",".295","101","1.8","2.1","-3.3","0.7",".729","6.0%","32","0.9","0.21","25.5%","57.0%","42.1%","55.1%","83.6%","75.4%","52.5%","0.4","34.6%","32.7%","86.6","11.8","2.5%","108.5","28.3%","159","30.7%",".242",".330","19262","641658"
"Josh Bell","- - -","150","617","22","10.2%","21.7%",".172",".287",".247",".325",".419",".323",".346","105","-5.0","-1.4","-15.8","0.4",".744","15.5%","77","2.3","-0.76","27.5%","69.7%","47.7%","57.0%","85.8%","77.1%","47.8%","-2.8","45.7%","22.4%","90.1","9.3","10.1%","114.0","42.6%","418","24.6%",".263",".457","13145","605137"
"Robbie Grossman","TEX","115","420","10","13.6%","23.3%",".156",".292",".238",".340",".394",".323",".306","102","1.3","2.4","-12.2","0.4",".734","8.1%","53","1.4","0.56","17.4%","59.0%","38.1%","61.3%","87.5%","81.5%","49.7%","1.6","39.5%","22.8%","88.2","20.2","6.8%","109.0","37.3%","263","28.0%",".222",".348","5254","543257"
"Eddie Rosario","ATL","142","516","21","6.6%","23.6%",".195",".300",".255",".305",".450",".322",".320","100","-1.6","-1.8","-2.3","1.4",".755","15.6%","65","1.7","0.89","44.4%","72.0%","57.1%","61.5%","80.0%","72.3%","46.2%","1.0","44.3%","19.8%","88.6","14.5","9.5%","110.4","35.1%","359","28.2%",".254",".437","12155","592696"
"Nico Hoerner","CHC","150","688","9","7.1%","12.1%",".100",".312",".283",".346",".383",".322",".311","102","9.7","11.5","11.9","4.7",".729","4.9%","86","2.1","1.19","30.9%","59.0%","45.4%","76.5%","94.6%","88.6%","51.7%","4.9","31.6%","28.8%","86.6","10.5","1.7%","109.2","33.0%","542","25.2%",".272",".355","21479","663538"
"Alex Verdugo","BOS","142","602","13","7.5%","15.4%",".158",".294",".264",".324",".421",".322",".330","98","-2.0","-3.5","3.5","2.0",".745","8.4%","75","1.7","-1.46","22.4%","55.6%","40.8%","63.1%","93.8%","86.3%","55.4%","0.1","38.2%","24.5%","89.2","8.8","5.0%","112.4","37.6%","458","27.2%",".275",".413","17027","657077"
"Andrew Vaughn","CHW","152","615","21","5.9%","21.0%",".171",".299",".258",".314",".429",".321",".317","103","-6.1","-4.0","-14.3","0.3",".743","13.3%","76","1.5","-0.57","33.2%","63.3%","47.5%","60.4%","88.2%","78.0%","47.4%","-4.1","39.4%","26.9%","90.6","11.2","8.4%","111.7","46.5%","439","28.0%",".249",".422","26197","683734"
"Orlando Arcia","ATL","139","533","17","7.3%","19.1%",".156",".301",".264",".321",".420",".321",".309","99","-2.1","-2.7","7.3","2.3",".741","14.8%","66","1.3","0.55","24.8%","65.8%","46.2%","58.1%","83.7%","77.2%","52.2%","0.0","43.2%","22.6%","88.2","5.4","6.9%","109.4","40.9%","389","28.0%",".246",".398","13185","606115"
"J.D. Davis","SFG","144","546","18","9.5%","27.8%",".165",".320",".248",".325",".413",".321",".324","104","-2.3","0.5","2.5","2.2",".738","19.6%","68","1.3","-0.39","26.2%","78.0%","53.1%","38.6%","77.7%","68.4%","51.9%","-0.3","41.3%","25.5%","91.1","7.8","9.5%","111.3","44.4%","336","27.1%",".241",".410","16219","605204"
"Jarred Kelenic","SEA","105","416","11","9.9%","31.7%",".167",".359",".253",".327",".419",".321",".333","108","0.4","4.2","-5.2","1.3",".746","16.2%","52","0.8","0.96","29.0%","65.0%","46.8%","42.6%","82.1%","69.7%","49.5%","0.7","41.3%","21.9%","90.9","10.1","9.5%","112.0","45.5%","242","29.4%",".263",".434","22558","672284"
"Andy Ibanez","DET","114","383","11","6.3%","18.0%",".169",".300",".264",".312",".433",".320",".330","103","-0.2","1.1","1.7","1.6",".744","9.5%","47","0.7","-0.22","35.6%","68.8%","51.8%","60.4%","89.0%","79.0%","48.9%","-0.2","35.0%","26.0%","89.1","12.9","9.0%","109.6","42.6%","289","25.9%",".269",".437","18819","628451"
"Kevin Kiermaier","TOR","129","408","8","7.1%","21.1%",".154",".321",".265",".322",".419",".320",".301","104","-2.7","-0.6","8.5","2.2",".741","11.1%","50","0.6","-0.29","27.7%","69.3%","49.3%","46.3%","81.7%","72.1%","51.9%","-3.3","41.5%","21.1%","86.7","5.6","3.5%","107.8","32.9%","289","28.3%",".258",".350","11038","595281"
"George Springer","TOR","154","683","21","8.8%","18.3%",".147",".291",".258",".327",".405",".320",".332","104","-1.7","1.6","-3.1","2.2",".732","12.1%","84","0.8","-0.68","21.6%","71.8%","49.3%","51.8%","86.8%","79.9%","55.1%","-0.4","39.5%","24.4%","88.3","12.0","7.7%","115.9","39.4%","493","23.7%",".262",".418","12856","543807"
"Joey Gallo","MIN","111","332","21","14.5%","42.8%",".262",".244",".177",".301",".440",".320",".302","104","1.0","2.5","-6.5","0.7",".741","25.9%","41","0.3","-1.16","25.8%","69.6%","47.0%","31.8%","68.9%","58.4%","48.6%","1.3","58.6%","20.7%","93.0","26.4","18.6%","112.6","52.9%","140","32.0%",".154",".411","14128","608336"
"Geraldo Perdomo","ARI","144","495","6","12.9%","17.4%",".113",".295",".246",".353",".359",".319",".273","99","5.0","4.3","6.1","2.7",".712","4.4%","61","0.3","-0.04","18.2%","54.8%","38.0%","69.8%","90.7%","86.1%","54.2%","2.4","42.5%","23.6%","85.7","16.4","0.9%","104.9","19.2%","339","26.7%",".201",".266","22799","672695"
"Jose Siri","TBR","101","364","25","5.5%","35.7%",".272",".269",".222",".267",".494",".319",".301","106","4.2","7.0","7.7","2.7",".761","26.6%","44","0.1","0.35","38.6%","68.1%","52.8%","43.7%","71.5%","61.0%","48.1%","2.8","48.6%","17.9%","88.3","14.4","12.7%","113.7","37.3%","212","35.3%",".214",".444","17452","642350"
"Cavan Biggio","TOR","111","338","9","11.8%","26.0%",".135",".304",".235",".340",".370",".318",".318","103","2.2","3.3","-4.4","1.0",".710","10.8%","41","-0.2","0.04","16.0%","60.4%","39.5%","40.4%","87.2%","78.3%","53.0%","1.2","44.8%","25.1%","88.4","15.7","7.4%","109.8","33.0%","203","30.0%",".228",".374","19252","624415"
"Teoscar Hernandez","SEA","160","678","26","5.6%","31.1%",".178",".342",".258",".305",".435",".317",".336","105","-2.9","0.9","-6.4","1.8",".741","16.6%","82","-1.1","-1.31","34.5%","72.6%","53.7%","43.2%","77.8%","66.7%","50.3%","-4.1","38.2%","25.4%","91.3","12.3","13.8%","112.6","49.4%","421","31.8%",".257",".471","13066","606192"
"Thairo Estrada","SFG","120","530","14","4.2%","22.6%",".145",".331",".271",".315",".416",".316",".293","101","4.8","5.4","15.6","3.9",".731","10.9%","64","-0.9","-1.55","36.1%","67.1%","51.1%","61.1%","90.4%","79.6%","48.2%","3.0","47.8%","22.0%","85.9","10.8","4.8%","110.5","33.7%","377","27.8%",".247",".368","16426","642731"
"Leody Taveras","TEX","143","554","14","6.3%","21.1%",".155",".318",".266",".312",".421",".316",".320","98","3.7","2.1","1.9","2.3",".733","10.4%","66","-1.1","-1.33","30.0%","68.0%","49.1%","57.6%","86.4%","77.6%","50.2%","1.5","30.2%","29.9%","90.1","10.2","7.2%","112.2","42.4%","401","26.3%",".270",".405","18900","665750"
"Kyle Farmer","MIN","120","369","11","6.2%","23.3%",".152",".311",".256",".317",".408",".316",".312","101","0.5","1.0","3.0","1.6",".725","12.0%","44","-0.8","-0.69","32.8%","61.2%","47.7%","62.6%","88.8%","80.2%","52.3%","2.0","42.1%","24.2%","86.4","13.2","6.8%","105.5","32.9%","252","28.5%",".249",".399","14813","571657"
"Yoan Moncada","CHW","92","357","11","5.6%","30.0%",".165",".350",".260",".305",".425",".315",".317","98","-0.1","-0.8","1.0","1.2",".730","15.3%","42","-1.0","-0.19","28.5%","64.2%","46.8%","49.2%","81.9%","72.2%","51.3%","0.1","47.4%","21.5%","89.4","12.3","10.1%","112.7","39.0%","228","29.8%",".259",".426","17232","660162"
"Ty France","SEA","158","665","12","6.5%","17.6%",".116",".294",".250",".337",".366",".315",".339","104","-9.8","-7.0","-10.2","0.5",".703","7.3%","79","-2.0","-1.82","33.9%","72.1%","53.2%","56.4%","90.6%","79.8%","50.6%","-5.8","42.9%","20.4%","87.5","13.7","6.8%","112.7","38.4%","471","23.6%",".266",".413","17982","664034"
"Pablo Reyes","BOS","64","185","2","7.6%","11.4%",".090",".315",".287",".339",".377",".315",".317","93","0.9","-0.7","-1.0","0.5",".716","3.4%","22","-0.6","0.59","21.0%","60.4%","41.6%","69.0%","91.5%","86.1%","52.3%","1.0","47.3%","22.0%","88.1","14.7","4.0%","109.2","36.0%","150","26.6%",".269",".399","16357","622569"
"Michael Conforto","SFG","125","470","15","11.3%","22.6%",".145",".284",".239",".334",".384",".315",".330","100","0.6","0.6","-5.3","1.1",".718","12.9%","56","-1.4","0.75","26.3%","65.5%","45.3%","55.3%","86.4%","77.1%","48.5%","1.3","34.9%","26.3%","88.9","11.9","7.9%","109.7","39.8%","304","26.6%",".244",".414","16376","624424"
"Matt Vierling","DET","134","530","10","8.3%","21.1%",".127",".321",".261",".329",".388",".315",".323","99","-0.7","-1.4","-4.7","1.2",".717","8.8%","63","-1.7","-1.09","28.8%","57.5%","44.1%","68.2%","90.1%","83.4%","53.2%","1.6","33.9%","32.8%","89.1","9.1","4.6%","113.0","42.0%","369","28.7%",".266",".396","21558","663837"
"DJ LeMahieu","NYY","136","562","15","10.7%","22.2%",".147",".295",".243",".327",".390",".315",".320","101","-7.0","-6.3","-2.2","1.1",".718","15.5%","67","-1.8","-0.34","22.7%","52.4%","39.2%","65.4%","88.2%","82.3%","55.4%","-3.6","34.5%","28.1%","89.6","3.8","5.9%","111.2","43.1%","374","31.0%",".252",".384","9874","518934"
"Joey Meneses","WSN","154","657","13","5.8%","19.8%",".126",".329",".275",".321",".401",".314",".285","96","-4.2","-7.8","-16.9","-0.2",".722","8.6%","78","-2.1","1.28","31.0%","64.1%","47.6%","58.3%","88.3%","78.5%","50.1%","-1.7","41.9%","28.3%","89.4","9.4","5.4%","110.8","41.7%","484","28.3%",".241",".354","14366","608841"
"Rob Refsnyder","BOS","89","243","1","13.6%","19.3%",".069",".316",".248",".365",".317",".314",".341","93","-1.4","-3.5","-2.9","0.2",".682","2.1%","29","-0.8","-0.35","16.4%","60.4%","40.1%","57.9%","84.1%","79.2%","53.9%","-0.4","42.7%","17.2%","87.7","11.9","3.8%","106.8","34.2%","158","28.4%",".258",".380","13770","608701"
"Elias Diaz","COL","141","526","14","6.5%","22.4%",".142",".324",".267",".316",".409",".314",".295","81","-0.5","-13.0","-4.8","0.0",".725","10.4%","62","-1.8","0.27","34.4%","76.4%","54.8%","52.3%","84.6%","74.2%","48.5%","0.2","42.7%","22.0%","88.1","12.7","6.2%","111.7","38.4%","372","24.8%",".243",".372","11680","553869"
"Jeff McNeil","NYM","156","648","10","6.0%","10.0%",".108",".288",".270",".333",".378",".314",".290","100","1.7","2.0","1.7","2.6",".711","5.1%","77","-2.3","0.35","28.4%","73.9%","52.7%","72.5%","92.9%","87.8%","53.3%","-0.4","41.3%","25.7%","86.0","14.4","1.3%","109.0","27.0%","526","18.6%",".246",".333","15362","643446"
"Eugenio Suarez","SEA","162","694","22","10.1%","30.8%",".159",".314",".232",".323",".391",".313",".328","102","-3.2","-1.1","9.2","3.2",".714","12.9%","82","-2.9","-0.39","22.4%","64.8%","44.5%","40.3%","79.8%","70.3%","52.2%","-2.5","46.8%","20.0%","90.3","18.9","12.7%","111.1","43.0%","395","29.8%",".223",".423","12552","553993"
"Trevor Larnach","MIN","58","212","8","12.7%","34.0%",".202",".295",".213",".311",".415",".313",".323","99","0.6","0.5","-3.6","0.4",".727","14.8%","25","-0.9","-0.53","23.1%","61.9%","41.0%","35.1%","78.5%","65.3%","46.1%","0.6","39.8%","18.6%","90.1","17.5","13.3%","112.0","49.6%","113","31.4%",".212",".430","21501","663616"
"Steven Kwan","CLE","158","718","5","9.7%","10.4%",".102",".294",".268",".340",".370",".313",".318","100","1.5","1.7","3.0","2.9",".710","3.0%","84","-3.2","0.70","22.3%","57.0%","41.0%","75.1%","95.4%","90.3%","53.8%","0.0","30.0%","31.4%","86.0","10.7","1.1%","105.2","18.8%","570","25.9%",".282",".356","24610","680757"
"Tyler O'Neill","STL","72","266","9","10.5%","25.2%",".172",".284",".231",".312",".403",".313",".338","97","-0.8","-1.7","0.8","0.8",".715","13.8%","31","-1.3","-0.61","25.4%","65.2%","44.9%","45.2%","87.1%","75.0%","49.0%","-1.1","39.8%","20.5%","89.2","15.0","12.3%","111.4","43.3%","171","28.0%",".249",".447","15711","641933"
"Garrett Cooper","- - -","123","457","17","6.8%","28.9%",".168",".324",".251",".304",".419",".313",".318","96","-4.1","-6.4","-5.7","0.3",".724","17.9%","53","-2.2","-0.14","40.2%","65.7%","52.4%","53.7%","83.9%","71.7%","47.7%","-1.5","37.3%","24.0%","89.0","13.3","10.3%","110.9","41.1%","292","29.9%",".250",".429","15279","643265"
"Anthony Rizzo","NYY","99","421","12","8.3%","23.0%",".134",".298",".244",".328",".378",".312",".319","100","-3.6","-3.8","-1.5","0.9",".706","10.6%","49","-2.1","-0.77","33.6%","63.2%","48.4%","56.6%","87.9%","77.1%","50.2%","-1.1","44.4%","19.5%","90.0","17.8","6.9%","110.6","37.2%","277","28.9%",".244",".391","3473","519203"
