"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Jose Ramirez","CLE","156","691","24","10.6%","10.6%",".193",".285",".282",".356",".475",".346",".360","123","7.0","26.0","1.7","5.1",".831","10.3%","100","15.8","3.12","27.9%","66.5%","46.6%","71.5%","91.7%","85.5%","48.5%","2.9","51.1%","18.9%","90.0","18.0","7.0%","111.6","40.3%","544","21.8%",".297",".478","13510","608070"
"Gunnar Henderson","BAL","150","622","28","9.0%","25.6%",".234",".306",".255",".325",".489",".346",".345","123","5.2","22.3","3.1","4.6",".814","19.3%","90","14.1","1.41","26.0%","65.8%","46.8%","54.3%","83.3%","75.6%","52.1%","4.9","39.9%","25.0%","92.0","11.4","11.4%","113.8","51.7%","404","28.1%",".258",".468","26289","683002"
"Pete Alonso","NYM","154","658","46","9.9%","22.9%",".287",".205",".217",".318",".504",".346",".370","121","-1.8","15.7","-10.1","2.8",".821","22.9%","95","14.9","1.03","26.1%","62.4%","43.7%","54.9%","85.8%","76.3%","48.4%","-0.7","44.4%","23.0%","89.5","18.2","14.7%","115.7","39.9%","421","28.4%",".244",".528","19251","624413"
"Justin Turner","BOS","146","626","23","8.1%","17.6%",".179",".304",".276",".345",".455",".346",".336","114","-3.5","7.4","-16.6","1.2",".800","12.2%","90","14.2","1.68","25.8%","61.7%","45.0%","69.1%","89.8%","84.3%","53.5%","-2.8","41.0%","26.4%","89.5","16.5","5.7%","108.2","39.0%","454","25.2%",".259",".443","5235","457759"
"Francisco Lindor","NYM","160","687","31","9.6%","19.9%",".216",".277",".254",".336",".470",".346",".345","121","7.7","25.9","11.1","6.0",".806","14.4%","99","15.5","1.39","28.2%","67.4%","48.0%","60.5%","86.8%","79.2%","50.6%","2.7","46.8%","19.9%","91.2","19.2","10.4%","112.4","43.9%","472","24.8%",".253",".454","12916","596019"
"Gleyber Torres","NYY","158","672","25","10.0%","14.6%",".180",".288",".273",".347",".453",".346",".361","123","-4.8","13.4","-3.8","3.2",".800","12.6%","97","15.1","0.54","26.2%","66.8%","46.8%","65.7%","86.1%","80.5%","50.7%","-2.0","36.6%","25.1%","89.7","15.1","7.9%","112.4","40.3%","504","24.6%",".280",".474","16997","650402"
"Andrew McCutchen","PIT","112","473","12","15.9%","21.1%",".141",".312",".256",".378",".397",".345",".351","115","-1.7","7.2","-10.8","1.2",".776","11.4%","68","10.6","1.11","17.4%","63.6%","41.6%","45.5%","82.0%","74.7%","52.3%","-2.1","51.4%","19.7%","89.6","12.3","6.8%","109.8","44.6%","294","28.2%",".255",".402","9847","457705"
"Ian Happ","CHC","158","691","21","14.3%","22.1%",".183",".299",".248",".360",".431",".345",".349","118","1.8","16.8","-5.2","3.5",".791","13.1%","100","15.4","1.99","23.2%","64.4%","44.3%","55.4%","84.3%","76.9%","51.3%","0.2","37.6%","25.6%","89.9","13.0","9.0%","112.6","39.0%","433","25.6%",".251",".421","17919","664023"
"Will Smith","LAD","126","554","19","11.4%","16.1%",".177",".277",".261",".359",".438",".345",".353","119","1.9","14.8","10.4","4.4",".797","11.2%","80","12.2","0.38","23.9%","67.0%","45.7%","73.1%","86.2%","82.8%","50.6%","0.9","37.7%","27.9%","89.3","15.6","6.7%","110.8","41.3%","387","24.3%",".261",".433","19197","669257"
"Michael Harris II","ATL","138","539","18","4.6%","18.7%",".184",".334",".293",".331",".477",".345",".355","115","3.9","13.8","7.7","4.0",".808","14.5%","77","11.8","0.45","38.4%","65.9%","52.7%","63.0%","85.7%","77.8%","52.1%","1.8","35.8%","27.2%","90.9","7.6","10.1%","113.9","48.5%","408","27.4%",".301",".484","25931","671739"
"Brendan Donovan","STL","95","371","11","8.9%","14.3%",".138",".311",".284",".365",".422",".345",".353","118","3.1","11.6","-3.5","2.1",".787","13.4%","53","8.1","1.78","24.5%","59.9%","42.7%","72.4%","93.0%","87.2%","51.4%","2.8","41.3%","29.4%","89.3","10.6","5.8%","109.1","40.6%","276","24.8%",".283",".433","24679","680977"
"Nolan Gorman","STL","119","464","27","11.4%","31.9%",".241",".296",".236",".328",".478",".345",".358","118","2.6","13.2","-3.7","2.5",".805","21.6%","67","10.1","1.02","27.3%","70.9%","48.9%","40.0%","78.2%","67.4%","49.6%","1.0","46.5%","25.4%","91.0","22.2","16.5%","112.3","48.5%","260","28.9%",".238",".502","22263","669357"
"James Outman","LAD","151","567","23","12.0%","31.9%",".188",".343",".248",".353",".437",".344",".326","118","5.7","18.6","6.0","4.4",".790","18.4%","81","12.2","1.20","25.6%","66.2%","46.0%","38.1%","77.2%","66.4%","50.3%","3.2","49.0%","21.9%","87.9","15.7","11.1%","111.4","39.5%","306","31.1%",".228",".396","24770","681546"
"Riley Greene","DET","99","416","11","8.4%","27.4%",".159",".384",".288",".349",".447",".344",".363","119","1.4","11.1","-2.6","2.3",".796","16.7%","60","9.0","0.59","27.8%","65.7%","46.9%","53.2%","83.0%","74.3%","50.4%","0.6","42.5%","22.2%","91.6","6.6","11.3%","114.4","46.6%","266","28.4%",".287",".492","25976","682985"
"Max Muncy","LAD","135","579","36","14.7%","26.4%",".263",".221",".212",".333",".475",".344",".365","118","0.9","14.0","-5.1","2.9",".808","21.8%","83","12.4","1.35","23.4%","57.3%","39.3%","50.5%","81.7%","71.8%","46.9%","1.9","53.1%","18.5%","91.2","21.7","14.6%","111.1","46.0%","335","30.8%",".234",".502","13301","571970"
"Lars Nootbaar","STL","117","503","14","14.3%","19.7%",".157",".307",".261",".367",".418",".344",".357","118","2.2","13.5","1.5","3.2",".784","13.6%","72","10.8","0.74","17.7%","51.1%","35.3%","66.7%","89.1%","83.8%","52.7%","1.3","34.7%","24.5%","89.1","7.2","8.8%","112.2","37.8%","331","29.5%",".263",".435","21454","663457"
"Stone Garrett","WSN","89","271","9","9.6%","30.3%",".188",".365",".269",".343",".457",".344",".340","115","0.5","5.6","-2.6","1.2",".801","14.5%","39","5.7","0.51","31.6%","76.1%","52.8%","46.5%","80.1%","69.5%","47.6%","1.3","36.3%","25.5%","91.1","17.3","9.4%","112.5","47.5%","160","28.4%",".258",".432","19273","656448"
