Season,Name,Team,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Team,Season,Age,H,2B,LD%,GB%,FB%,HR/FB,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pull%,Cent%,Oppo%,Hard%,EV,LA,Barrel%,HardHit%,CSW%,xBA,xSLG,xwOBA,NameASCII,PlayerId,MLBAMID
2023,"Freddy Fermin","KCR",70,235,9,0,0.055319148,0.212765957,0.179723503,0.322981366,0.28110599,0.32051282,0.460829493,0.33333371974464154,,107.90451591255287,-0.23296259948983788,1.9927857997141798,8.58309006690979,1.8572535290372412,"KCR",2023,28,61,10,0.220238095,0.452380952,0.327380952,0.163636363,0.3413,0.8333,0.5435,0.5892,0.8889,0.778,0.4109,0.4211,0.3333,0.2456,0.3626,89.90178571428571,11.705535888671875,0.0994,0.4269,0.2302,,,,"Freddy Fermin",21840,666023
2023,"Bo Naylor","CLE",67,230,11,5,0.130434782,0.230434782,0.232323232,0.266666666,0.237373737,0.339130434,0.469696969,0.34681004702264046,,123.53543751544169,1.681618679780513,8.16770973846172,4.902819991111755,2.0889372433235986,"CLE",2023,23,47,13,0.191780821,0.308219178,0.5,0.150684931,0.2796,0.6706,0.4451,0.6994,0.8746,0.8111,0.4233,0.3973,0.3151,0.2877,0.2534,87.67379445043103,20.983219512521405,0.0822,0.3082,0.232,,,,"Bo Naylor",21865,666310
2023,"Mark Vientos","NYM",65,233,9,1,0.042918454,0.30472103,0.155963303,0.264285714,0.211009174,0.253218884,0.366972477,0.2674688049652034,,68.99727722990086,-1.217265309765935,-10.166264667384803,-5.2028728723526,-0.7455112882987336,"NYM",2023,23,46,5,0.167785234,0.516778523,0.315436241,0.191489361,0.3931,0.7219,0.5313,0.5544,0.751,0.6667,0.4203,0.3893,0.4295,0.1812,0.4161,92.48053429110739,9.514496873689177,0.1074,0.5101,0.3377,,,,"Mark Vientos",22184,668901
2023,"Brice Turang","MIL",137,448,6,26,0.084821428,0.209821428,0.081683168,0.267973856,0.217821782,0.285393258,0.29950495,0.2616598783312617,,60.317992631587515,2.9065470676869154,-19.11715718643104,2.0461530089378357,-0.1889557702719019,"MIL",2023,23,88,9,0.188925081,0.41693811,0.394136807,0.049586776,0.3033,0.6703,0.4708,0.7264,0.8798,0.826,0.4563,0.3111,0.3714,0.3175,0.2571,85.51470588235294,12.554266814688518,0.0286,0.2603,0.2543,,,,"Brice Turang",22186,668930
2023,"Triston Casas","BOS",132,502,24,0,0.139442231,0.250996015,0.226107226,0.316725978,0.263403263,0.366533864,0.489510489,0.36729977309703826,,129.4457320608662,-2.964461220894009,14.747188000786707,-15.105929851531982,1.6788251406997587,"BOS",2023,23,113,21,0.209836065,0.367213114,0.422950819,0.186046511,0.2597,0.6858,0.436,0.6433,0.8034,0.7475,0.4137,0.3869,0.4066,0.2066,0.3705,91.08425973360656,15.680884989754098,0.1311,0.4623,0.2654,,,,"Triston Casas",22514,671213
2023,"Gabriel Arias","CLE",122,345,10,3,0.08115942,0.327536231,0.142857143,0.29015544,0.209523809,0.275362318,0.352380952,0.27563091464664624,,74.19979241437396,0.4766095569357276,-10.188743208874612,4.087848938070238,0.5699915142258885,"CLE",2023,23,66,15,0.180904522,0.522613065,0.296482412,0.169491525,0.3789,0.7744,0.5509,0.4792,0.7506,0.6451,0.4349,0.33,0.3941,0.2759,0.3547,91.05427528266331,3.7006179579538316,0.0985,0.4631,0.3108,,,,"Gabriel Arias",22563,672356
2023,"Jordan Diaz","OAK",90,293,10,0,0.058020477,0.23549488,0.143382353,0.257731958,0.220588235,0.273037542,0.363970588,0.27790847308806593,,78.30968618317499,-1.2540353308431804,-8.868973566853063,-7.992150187492371,-0.6806026220957234,"OAK",2023,22,60,9,0.171568627,0.529411764,0.299019607,0.163934426,0.4192,0.7601,0.5596,0.5131,0.8761,0.7162,0.4118,0.4216,0.3186,0.2598,0.299,90.02167680110837,5.35630520223984,0.0637,0.4363,0.2807,,,,"Jordan Diaz",22650,672478
2023,"Maikel Garcia","KCR",123,515,4,23,0.073786407,0.22330097,0.086206896,0.343661971,0.271551724,0.322957198,0.35775862,0.29873916634325853,,83.92635613357554,1.3324114168062806,-8.586282765554559,11.96025037765503,2.0954446431689693,"KCR",2023,23,126,20,0.245810055,0.480446927,0.273743016,0.040816326,0.2439,0.6569,0.4286,0.6978,0.8767,0.8204,0.4472,0.3306,0.3944,0.275,0.3722,91.83126650528169,6.134580814638618,0.0389,0.5056,0.2808,,,,"Maikel Garcia",22715,672580
2023,"Oswald Peraza","NYY",52,191,2,4,0.068062827,0.261780104,0.080924855,0.256198347,0.190751445,0.267015706,0.2716763,0.24572446115353969,,53.425144170118024,-0.8909319429658353,-11.549965165422725,1.3352540135383606,-0.3662214793748593,"NYY",2023,23,33,8,0.186991869,0.495934959,0.31707317,0.051282051,0.3106,0.7568,0.4938,0.5,0.8304,0.7079,0.4105,0.5366,0.3171,0.1463,0.2927,87.15040650406505,9.816341741298272,0.0407,0.2846,0.2853,,,,"Oswald Peraza",22823,672724
2023,"Lenyn Sosa","CHW",52,173,6,0,0.028901734,0.231213872,0.146341463,0.226890756,0.201219512,0.223529411,0.347560975,0.24144395462860016,,47.39617297265523,-0.8637670143507421,-11.768031415923087,-0.6078450083732605,-0.643207729375779,"CHW",2023,23,33,6,0.211382113,0.398373983,0.390243902,0.125,0.4313,0.6629,0.5287,0.6815,0.8629,0.7771,0.4204,0.3203,0.3359,0.3438,0.3516,89.43739678607723,14.069918500698678,0.0781,0.3828,0.2893,,,,"Lenyn Sosa",22896,672820
