"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
1039,656289,"Cantu, Michael",1040,99.9,0.191,0.079,0.306,0.27,0.259,0.244,0.173,41,215,88.5,2.3,2250,88.7,88.65,195,508,531,0,6.33,109,150,121,147,299,322,287,"13","-13"
1037,664731,"Higgins, P.J.",1578,65.7,0.317,0.156,0.378,0.473,0.383,0.331,0.252,71,224,86.2,14.6,2212,87.7,87.18,107,471,566,-0.5,6.29,105,150,119,147,299,324,290,"-11.9","11.9"
1032,676847,"Matheny, Shane",1034,99.8,0.212,0.097,0.336,0.309,0.298,0.302,0.206,46,217,88.6,16.4,2148,87.9,87.86,139,407,625,0,6.26,113,145,109,150,290,319,297,"11.3","-11.3"
1030,660294,"Tsutsugo, Yoshi",1030,100,0.247,0.18,0.339,0.427,0.363,0.332,0.218,44,178,91,18.2,2181,88.7,88.98,124,407,623,0.29999999999999716,6.32,115,145,120,150,291,322,297,"-9.6","9.6"
1024,641929,"Odom, Joseph",1024,100,0.231,0.216,0.369,0.447,0.338,0.285,0.196,48,208,88.6,11.9,2246,87.8,87.98,200,501,523,0.20000000000000284,6.3,105,152,122,145,293,321,282,"6.7","-6.7"
1024,592660,"Ravelo, Rangel",1024,100,0.31,0.163,0.331,0.473,0.392,0.363,0.267,63,203,86.6,8.7,2234,88.3,88.69,90,439,585,0.4000000000000057,6.33,106,151,120,146,301,325,294,"-17.8","17.8"
1019,641432,"Calhoun, Willie",1105,92.2,0.265,0.174,0.271,0.439,0.339,0.295,0.232,61,230,88,19.4,2222,87.3,87.33,65,417,602,0,6.26,113,160,124,149,287,321,297,"-5.5","5.5"
1003,672478,"Diaz, Jordan",1003,100,0.326,0.199,0.358,0.524,0.38,0.318,0.286,87,267,89.3,2.5,2262,88,88.18,118,534,469,0.20000000000000284,6.26,105,149,118,145,298,323,294,"-16.6","16.6"
994,606988,"Greiner, Grayson",995,99.9,0.217,0.14,0.357,0.357,0.293,0.247,0.177,48,221,85.8,15.6,2216,86.9,87.25,194,447,547,0.3999999999999915,6.27,105,151,120,146,296,321,287,"11.6","-11.6"
990,645305,"Sánchez, Ali",1084,91.3,0.311,0.181,0.335,0.492,0.372,0.339,0.276,74,238,90.2,9.9,2244,88.1,87.58,76,426,564,-0.5,6.23,107,150,120,147,303,326,295,"-3.6","3.6"
987,672359,"Ornelas, Tirso",988,99.9,0.278,0.137,0.337,0.414,0.335,0.321,0.272,63,227,89.7,7.1,2221,88.1,88.57,102,466,521,0.5,6.3,117,147,121,152,295,325,303,"6.7","-6.7"
986,664850,"Mazeika, Patrick",1022,96.5,0.22,0.082,0.244,0.302,0.265,0.261,0.222,51,232,83.9,20.4,2201,87.8,87.89,88,508,478,0.10000000000000853,6.23,115,150,122,151,290,320,296,"16.5","-16.5"
981,640902,"Pereda, Jhonny",2082,47.1,0.272,0.107,0.315,0.379,0.335,0.307,0.226,56,206,88.5,7,2216,86.8,86.74,95,445,536,-0.09999999999999432,6.22,105,151,119,147,295,320,290,"4.7","-4.7"
975,681546,"Outman, James",975,100,0.292,0.335,0.343,0.627,0.427,0.364,0.248,62,212,91.3,19.3,2108,86.7,86.75,130,450,525,0,6.18,117,154,128,154,292,322,302,"-26","26"
970,677950,"Thomas, Alek",972,99.8,0.332,0.195,0.37,0.527,0.397,0.342,0.289,75,226,91.6,4.1,2173,87.7,87.44,88,447,523,-0.29999999999999716,6.31,114,147,111,150,286,321,304,"-24.6","24.6"
967,665120,"Walsh, Jared",967,100,0.217,0.158,0.32,0.375,0.331,0.314,0.203,40,184,90.3,19.6,2177,88.4,88.72,130,380,587,0.29999999999999716,6.29,112,145,122,150,300,331,299,"2.7","-2.7"
955,608686,"Mayfield, Jack",957,99.8,0.248,0.171,0.287,0.419,0.308,0.258,0.22,55,222,87.3,13.9,2233,87.5,87.49,116,479,476,0,6.17,104,151,118,148,293,317,282,"4.9","-4.9"
954,605512,"Tucker, Preston",993,96.1,0.293,0.272,0.326,0.565,0.424,0.359,0.244,56,191,89.5,12.9,2180,88,88.32,91,388,566,0.29999999999999716,6.33,114,146,123,150,293,323,301,"-19.6","19.6"
947,624417,"Brigman, Bryson",1126,84.1,0.292,0.11,0.345,0.402,0.351,0.319,0.265,64,219,84.6,5.1,2215,88,87.75,82,453,494,-0.29999999999999716,6.23,107,148,115,145,297,317,286,"-10.9","10.9"
945,661531,"Serven, Brian",945,100,0.224,0.167,0.265,0.39,0.303,0.256,0.19,51,228,86.8,13.4,2270,87.3,87.78,161,510,435,0.5,6.31,107,151,119,147,298,322,299,"2.9","-2.9"
945,642162,"Valaika, Pat",1019,92.7,0.234,0.129,0.277,0.364,0.298,0.298,0.234,49,209,88,16,2202,88,88.21,120,473,471,0.20000000000000284,6.24,106,149,118,145,296,320,287,"10.1","-10.1"
943,622268,"Walton, Donovan",947,99.6,0.234,0.156,0.251,0.39,0.313,0.287,0.23,51,218,84.1,13.1,2170,87.1,86.92,86,459,484,-0.19999999999998863,6.24,115,147,109,150,291,322,299,"2.1","-2.1"
934,666197,"Kessinger, Grae",935,99.9,0.283,0.152,0.331,0.435,0.365,0.345,0.251,52,184,88.5,19.7,2229,88.7,89.08,85,407,527,0.3999999999999915,6.37,107,149,117,144,292,316,288,"-3.8","3.8"
929,666213,"Welker, Colton",929,100,0.256,0.07,0.326,0.326,0.335,0.345,0.24,44,172,87.7,12.1,2224,87.9,87.89,78,355,574,0,6.31,106,151,120,149,301,321,292,"-0.3","0.3"
923,676782,"McDonald, Mickey",938,98.4,0.275,0.085,0.361,0.36,0.336,0.275,0.208,55,200,81.2,7.9,2232,87.5,87.41,91,392,531,-0.09999999999999432,6.22,111,146,106,149,261,310,289,"4","-4"
